DATE,INDPRO
2013-04-01,98.9898
2013-05-01,99.0782
2013-06-01,99.2141
2013-07-01,98.9132
2013-08-01,99.4891
2013-09-01,100.0172
2013-10-01,99.9038
2013-11-01,100.1479
2013-12-01,100.3576
2014-01-01,99.9828
2014-02-01,100.7485
2014-03-01,101.7391
2014-04-01,101.8023
2014-05-01,102.2116
2014-06-01,102.5637
2014-07-01,102.8425
2014-08-01,102.6499
2014-09-01,102.9647
2014-10-01,102.9704
2014-11-01,103.6017
2014-12-01,103.5920
2015-01-01,102.7980
2015-02-01,102.1554
2015-03-01,101.8077
2015-04-01,101.2285
2015-05-01,100.7536
2015-06-01,100.4529
2015-07-01,101.1100
2015-08-01,100.8802
2015-09-01,100.6080
2015-10-01,100.1510
2015-11-01,99.3817
2015-12-01,98.8572
2016-01-01,99.4086
2016-02-01,98.8946
2016-03-01,98.1385
2016-04-01,98.4364
2016-05-01,98.2096
2016-06-01,98.6766
2016-07-01,98.8371
2016-08-01,98.7302
2016-09-01,98.6287
2016-10-01,98.7126
2016-11-01,98.3004
2016-12-01,98.9063
2017-01-01,98.7349
2017-02-01,98.4178
2017-03-01,99.0726
2017-04-01,100.0545
2017-05-01,100.1390
2017-06-01,100.3148
2017-07-01,100.1418
2017-08-01,99.6878
2017-09-01,99.7829
2017-10-01,101.0401
2017-11-01,101.2260
2017-12-01,101.3878
2018-01-01,101.3450
2018-02-01,101.7068
2018-03-01,102.2785
2018-04-01,103.4340
2018-05-01,102.4735
2018-06-01,103.2508
2018-07-01,103.4588
2018-08-01,104.1802
2018-09-01,104.1665
2018-10-01,104.0476
2018-11-01,103.9603
2018-12-01,103.8690
2019-01-01,103.2684
2019-02-01,102.8157
2019-03-01,102.9000
2019-04-01,102.3826
2019-05-01,102.5756
2019-06-01,102.5928
2019-07-01,102.2012
2019-08-01,102.9086
2019-09-01,102.5790
2019-10-01,101.7775
2019-11-01,102.0979
2019-12-01,101.7632
2020-01-01,101.3030
2020-02-01,101.7038
2020-03-01,97.8746
2020-04-01,84.9590
2020-05-01,86.3345
2020-06-01,91.7523
2020-07-01,95.2439
2020-08-01,96.1173
2020-09-01,96.0711
2020-10-01,96.8250
2020-11-01,97.1183
2020-12-01,98.1380
2021-01-01,99.2645
2021-02-01,96.2231
2021-03-01,98.8621
2021-04-01,99.0246
2021-05-01,99.7785
2021-06-01,100.1923
2021-07-01,100.8724
2021-08-01,100.8370
